language_id,value,suggestion
1,અજવાળવું,Ô.vaÆ.vu~
1,અજવાળીયું,Ô.va.Æi.Ôu~
1,અજવાળું,Ô.va.Æu~
1,અજંપો,.Ô.mpo
1,અજાણ,.Ôa¯
1,અજાણ્યું,.Ôa.¯yu~
1,અજાયબી,.Ôa.j.bi
1,અજીર્ણ,.Ôir.¯
1,અજેય,.Ôej
1,અજોડ,.Ôo.Î
1,અજ્ઞાન,g.na.n
1,અજ્ઞાની,g.na.ni
1,અટક,.ˇk
1,અટકવું,.ˇk.vu~
1,અટકળ,ˇ.kÆ
1,અટપટું,ˇ.p.ˇu~
1,અટવાવું,ˇ.va.vu~
1,અઠવાડિક,ˇ˙.va.Îik
1,અઠવાડિયું,ˇ˙.va.Îi.ju~
1,અઠંગ,.ˇ˙˜.g
1,અઠ્‌ઠાઇ,.ˇ˙ˇ˙a.i
1,અઠ્‌ઠાણું,.ˇ˙ˇ˙a.¯u~
1,અઠ્‌ઠાવન,.ˇ˙ˇ˙a.vn
1,અઠ્‌યોતર,.ˇ˙jo.tr
1,અઠ્‌યાસી,.ˇ˙ja.si
1,અડકવું,.Îk.vu~
1,અડખે પડખે,Î.k˙e pÎ.k˙e
1,અડગ,.Îg
1,અડચણ,Î.c¯
1,અડતાલીસ,Î.ta.lis
1,અડદ,.Îd
1,અડધું,Î.d˙u~
1,અડપલું,.Îp.lu~
1,અડવું,Î.vu~
1,અડસઠ,Î.sˇ˙
1,અડોઅડ,Îo.Î
1,અડ્‌ડો,Î.Îo
1,અઢળક,.Î˙.Æk
1,અઢાર,.Î˙ar
1,અઢી,.Î˙i
1,અણગમો,¯.g.mo
1,અણઘડ,¯.g˙Î
1,અણધાર્યું,¯.d˙a.rju~
1,અણમાનીતું,¯.ma.ni.tu~
1,અણવર,¯.vr
1,અણિ,.¯i
1,અતિથિ,.ti.t˙i
1,અતિરેક,.ti.rek
1,અતીત,.tit
1,અતુટ,.tuˇ
1,અત્તર,ˇ.ˇr
1,અત્યંત,t.jn.t
1,અત્યાચાર,t.ja.car
1,અત્યારે,t.ja.re
1,અત્ર,t.r
1,અથડાવું,t˙.Îa.vu~
1,અથાણું,.t˙a.¯u~
1,અદા,.da
1,અદાલત,.da.lt
1,અદાવત,.da.vt
1,અદ્રશ્ય,.drß.j
1,અદેખાઇ,.de.k˙ai
1,અદેખ ું,.de.k˙u~
1,અદ્‌ભૂત,d.b˙ut
1,અધકચરું,d˙.kc.ru~
1,અધમ,.d˙m
1,અધમૂઉં,d˙.mu.u~
1,અધર્મ,.d˙r.m
1,અધવચ,d˙.vc
1,અધિકાર,.d˙i.kar
1,અધીરું,.d˙i.ru~
1,અધુરું,.d˙u.ru~
1,અધ્ધર,d˙.d˙r
1,અનર્થ,.nr.t˙
1,અનંત,.nn.t
1,અનાજ,.naÔ
1,અનાથ,.nat˙
1,અનાથાશ્રમ,.na.t˙a.ßr.m
1,અનાદર,.na.dr
1,અનામત,.na.mt
1,અનામી,.na.mi
1,અનિયમિત,.nij.mit
1,અનિશ્ચિત,.niß.cit
1,અનીતિ,.ni.ti
1,અનુકરણ,.nu.k.r¯
1,અનુકૂળ,.nu.kuÆ
1,અનુક્રમ,m /.nu.krm
1,અનુભવ,.nu.b˙v
1,અનુભવી,.nu.b˙.vi
1,અનુમાન,.nu.man
1,અનુવાદ,.nu.vad
1,અનુસરવું,.nu.sr.vu~
1,અનુસ્નાતક,.nus.na.tk
1,અનુસ્વાર,.nus.var
1,અને,.ne
1,અનેક,.nek
1,અન્યાય,n.jaj
1,અપચો,.p.co
1,અપજશ,p.Ôß
1,અપમાન,p.man
1,અપવાદ,p.vad
1,અપવિત્ર,.p.vit.r
1,અપશબ્દ,p.ßb.d
1,અપશુકન,p.ßu.kn
1,અપંગ,.p˜.g
1,અપાસરો,.pa.s.ro
1,અપૂજ,.puÔ
1,અપેક્ષા,.pek.ßa
1,અપ્રગટ,g4 /.pr.gˇ
1,અપ્રિય,y /p.ri.j
1,અફવા,p˙.va
1,અફસોસ,p˙.sos
1,અબજ,.bÔ
1,અબજોપતિ,.b.Ôo.p.ti
1,અભણ,.b˙¯
1,અભાવ,.b˙av
1,અભિનંદન,.b˙i.nn.dn
1,અભિનેતા,.b˙i.ne.ta
1,અભિપ્રા.ય,a.y /.b˙i.pra.j
1,અભિમાન,.b˙i.man
1,અભિમાની,.b˙i.ma.ni
1,અભ્યાસ,b˙.ja.s
1,અમર,.mr
1,અમારું,.ma.ru~
1,અમાસ,.mas
1,અમુક,.muk
1,અમૂલ્ય,.mul.j
1,અમે,.me
1,અયોગ્ય,.jog.j
1,અરીસો,.ri.so
1,અરે,.re
1,અર્થ,r.t˙
1,અલગ,.lg
1,અલી,.li
1,અલોપ,.lop
1,અલૌકીક,.lu.kik
1,અવદશા,v.d.ßa
1,અવનવું,v.n.vu~
1,અવયવ,.v.jv
1,અવરોધ,v.rod˙
1,અવલોકન,v.lo.kn
1,અવશ્ય,vß.j
1,અવસર,v.sr
1,અવસાન,v.san
1,અવળાઇ,v.Æai
1,અવળું,v.Æu~
1,અવાજ,.vaÔ
1,અવારનવાર,.var.n.var
1,અવાળું,.va.Æu~
1,અવિનય,.vi.nj
1,અશકત,.ßk.t
1,અશાંત,.ßa~n.t
1,અશુધ્ધ,.ßud˙.d˙
1,અશુભ,.ßub˙
1,અષાડ,.ßaÎ
1,અસત્ય,.st.j
1,અસર,.sr
1,અસલ,.sl
1,અસહકાર,.sh.kar
1,અસહાય,.s.haj
1,અસહ્ય,.sh.j
1,અસંખ્ય,.s¯.k˙j
1,અસંતોષ,.sn.toß
1,અસંભવ,.sm.b˙v
1,અસંમત,.sm.mt
1,અસંસ્કારી,.sams.ka.ri
1,અસાધ્ય,.sa.d˙j
1,અસુર,.sur
1,અસ્થિર,.st˙i.r
1,અસ્પષ્ટ,.spß.ˇ
1,અસ્વચ્છ,.svc.c˙
1,અસ્વસ્થ,.svs.t˙
1,અસ્વાભાવિક,.sva.b˙a.vi.k
1,અસ્વીકાર,.svi.kar
1,અહિંસક,.him.sk
1,અહિસા,.him.sa
1,અહીં,.hi~
1,અહીંયાં,.hi~.ja~
1,અહોહો,.ho.ho
1,અળખામણું,Æ.k˙am.¯u~
1,અળગું,Æ.gu~
1,અંકુર,˜.ku.r
1,અંગ,˜.g
1,અંગરક્ષક,˜.g.rk.ß.k
1,અંગૂઠી,˜.gu.ˇ˙i
1,અંગૂઠો,˜.gu.ˇ˙o
1,અંગ્રેજ,ej /˜.g.reÔ
1,અંગ્રેજી,e@ /˜.g.re.Ôi
1,અંત,n.t
1,અંતર,n.tr
1,અંતિમ,n.tim
1,અંતે,n.te
1,અંદર,n.dr
1,અંદાજ,n.daÔ
1,અંધાધૂંધી,n.d˙a.d˙u~n.d˙i
1,અંધાપો,n.d˙a.po
1,અંધારીયું,n.d˙a.ri.ju~
1,અંધારું,n.d˙a.ru~
1,અંબોડો,m.bo.Îo
1,અંશ,mß
1,આ,a
1,આકાર,a.kar
1,આકાશ,a.kaß
1,આકાંક્ષા,a.ka~.kßa
1,આકૃતિ,ak.ru.ti
1,આક્રમણ,m8 /ak.r.m¯
1,આક્ષેપ,ak.ßep
1,આખરે,a.k˙.re
1,આખલો,ak˙.lo
1,આગ,ag
1,આગબોટ,ag.boˇ
1,આગમ,a.gm
1,આગલું,ag.lu~
1,આગળ,a.gÆ
1,આગામી,a.ga.mi
1,આગાહી,a.ga.hi
1,આગિયો,a.gi.jo
1,આગ્રહ,h /ag.r.h
1,આઘાત,a.g˙at
1,આઘું,a.g˙u~
1,આચરકુચર,a.cr ku.cr
1,આચાર,a.cr
1,આચાર્ય,a.car.j
1,આછું,a.c˙u~
1,આજ,aÔ
1,આજીજી,a.Ôi.Ôi
1,આજીવન,a.Ôi.vn
1,આજુ બાજુ,a.Ôu ba.Ôu
1,આટલું,aˇ.lu~
1,આટો,a.ˇo
1,આઠ,aˇ˙
1,આઠમ,a.ˇ˙m
1,આડણી,aÎ.¯i
1,આડત્રીસ,a.Ît.ris
1,આડું,a.Îu~
1,આડોશપાડોશ,a.Îoß.pa.Îoß
1,આણવું,a¯.vu~
1,આણું,a.¯u~
1,આત્મા,at.ma
1,આથમણું,a.t˙m.¯u~
1,આથમવું,a.t˙m.vu~
1,આદર,a.dr
1,આદર્શ,a.dr.ß
1,આદાશીશી,a.da.ßi.ßi
1,આદિ,a.di
1,આદિવાસી,a.di.va.si
1,આદું,a.du~
1,આદેશ,a.deß
1,આધાર,a.d˙ar
1,આધુનિક,a.d˙u.nik
1,આધેડ,a.d˙eÎ
1,આધ્યાત્મિક,a.d˙jat.mik
1,આનંદ,a.nn.d
1,આનાકાની,a.na.ka.ni
1,આપણે,ap.¯e
1,આપત્તિ,a.pt.ti
1,આપમેળે,ap.me.Æe
1,આપલે,ap.le
1,આપવીતી,ap.vi.ti
1,આપવું,ap.vu~
1,આપોઆપ,a.po.ap
1,આફરો,ap˙.ro
1,આફૂસ,a.p˙u:s
1,આબરૂ,ab.ru
1,આબેહૂબ,a.be.hub
1,આબોહવા,a.bo.h.va
1,આભ,ab˙
1,આભાર,a.b˙ar
1,આભાસ,a.b˙as
1,આભૂષણ,a.b˙u.ß¯
1,આમ,am
1,આમજનતા,am.Ôn.ta
1,આમણે,am.¯e
1,આમતેમ,am.tem
1,આમથી,am.t˙i
1,આમદાની,am.da.ni
1,આમન્યા,amn.ja
1,આમરણ,a.m.r¯
1,આમલી,am.li
1,આમળવું,a.mÆ.vu~
1,આમંત્રણ,a.mn.tr¯
1,આમંત્રણ પત્રિકા,a.mn.tr¯ p.tri.ka
1,આયનો,aj.no
1,આયા.,a.ja
1,આયાત,a.jat
1,આયોજન,a.jo.Ôn
1,આરતી,ar.ti
1,આરપાર,ar.par
1,આરંભ,a.rm.b˙
1,આરામ,a.ram
1,આરોગ્ય,a.rog.j
1,આરોપ,a.rop
1,આલવું,al.vu~
1,આવક,a.vk
1,આવકાર,av.kar
1,આવડત,av.Ît
1,આવડવું,a.vÎ.vu~
1,આવડું,av.Îu~
1,આવરદા,a.vr.da
1,આવવું,av.vu~
1,આવું,a.vu~
1,આવેગ,a.veg
1,આવેશ,a.veß
1,આશય,a.ßj
1,આશરે,aß.re
1,આશરો,aß.ro
1,આશા,a.ßa
1,આશાઢ,a.ßaÎ˙
1,આશિષ,a.ßiß
1,આશિર્વાદ,a.ßir.vad
1,આશ્ચર્ય,aß.cr.j
1,આશ્રમ,aß.rm
1,આશ્વાસન,aß.va.sn
1,આસન,a.sn
1,આસ પાસ,as.pas
1,આસમાન,as.man
1,આસ્તિક,as.ti.k
1,આસો,a.so
1,આસ્થા,as.t˙a
1,આસ્વાદ,as.va.d
1,આહાહા,a.ha.ha
1,આહાર,a.har
1,આહીર,a.hir
1,આહુતિ,a.hu.ti
1,આળસ,a.Æs
1,આળોટવું,a.Æoˇ.vu~
1,આંક,a~k
1,આંકડાશાસ્ત્ર,a~k.Îa.ßaß.tr
1,આંકડો,a~k.Îo
1,આંકવું,a~k.vu~
1,આંખ,a~k˙
1,આંગણું,a~g.¯u~
1,આંગળીયાત,a~.g.Æi.jat
1,આંચકવું,a~.ck.vu~
1,આંચકી,a~c.ki
1,આંચકો,a~c.ko
1,આંજવું,a~Ô.vu~
1,આંતરડું,a~.tr.Îu~
1,આંતરરાષ્ટિય્ર,a~n.tr. raß.ˇri.ja
1,આંતરવું,a~.tr.vu~
1,આંતરીક,a~t.rik
1,આંદોલન,a~n.do.ln
1,આંધણ,a~.d˙¯
1,આંબો,a~.bo
1,આંસું ુ,a~.su~
1,ઇચ્છવું,ic.c˙.vu~
1,ઇચ્છા,ic.c˙a
1,ઇજનેર,iÔ.ner
1,ઇજારો,i.Ôa.ro
1,ઇજજત,iÔ.Ôt
1,ઇઠ્‌ઠોતેર,iˇ˙.ˇ˙o.ter
1,ઇઠ્‌યાસી,i.ˇ˙ja.si
1,ઇતર,i.tr
1,ઇતિહાસ,i.ti.has
1,ઇનામ,i.nam
1,ઇમામ,i:.mam
1,ઇમારત,i:.ma.rt
1,ઇયળ,i:.jÆ
1,ઇલાજ,i:.laÔ
1,ઇલાયચી,i:.la.j.ci
1,ઇશ્ક,i:ß.k
1,ઇસ્પિતાલ,i:s.pi.tal
1,ઇસ્લામ,is.lam
1,ઇન્દ્રીય,in.dri.j
1,ઈજા,iŠ.Ôa
1,ઈડલી,iŠÎ.li
1,ઈદ,iŠd
1,ઈદડું,iŠd.Îu~
1,ઈશાન,iŠ.ßan
1,ઈશ્વર,iŠß.vr
1,ઈસાઈ,iŠ.sa.iŠ
1,ઈંટ,iŠˇ
1,ઈંડું,i~Š.¯du~
1,ઉકરડો,u.kr.Îo
1,ઉકળવું,u.kÆ.vu~
1,ઉકળાટ,uk.Æaˇ
1,ઉકાળવું,u.kaÆ.vu~
1,ઉકેલ,u.kel
1,ઉકેલવું,u.kel.vu~
1,ઉખાણું,u.k˙a.¯u~
1,ઉગામવું,u.gam.vu~
1,ઉઘરાણી,ug˙.ra.¯i
1,ઉઘરાવવુંં,ug˙.rav.vu~
1,ઉચાટ,u.caˇ
1,ઉચાપત,u.ca.pt
1,ઉચ્ચાર,uc.car
1,ઉચ્ચારવું,u.ccar.vu~
1,ઉચ્છવાસ,uc.c˙.vas
1,ઉછળવું,u.c˙Æ.vu~
1,ઉછાળવું,u.c˙aÆ.vu~
1,ઉછેરવું,u.c˙er.vu~
1,ઉજાગરો,u.Ôag.ro
1,ઉજાણી,u.Ôa.¯i
1,ઉજજડ,uÔ.ÔÎ
1,ઉઠમણું,u.ˇ˙m.¯u~
1,ઉઠવું,uˇ˙.vu~
1,ઉઠાડવું,u.ˇ˙aÎ.vu~
1,ઉઠાંતરી,u.ˇ˙a~n.t.ri
1,ઉડાઉ,u.Îa.u
1,ઉડાવવું,u.Îav.vu~
1,ઉતારવું,u.tar.vu~
1,ઉતારું,u.ta.ru~
1,ઉતારો,u.ta.ro
1,ઉતાવળ,u.ta.vÆ
1,ઉત્તમ,ut.tm
1,ઉત્તર,ut.tr
1,ઉત્તેજક,ut.te.Ôk
1,ઉત્પત્તિ,ut.pt.ti
1,ઉત્પાદક,ut.pa.dk
1,ઉત્પાદન,ut.pa.dn
1,ઉત્સવ,ut.sv
1,ઉત્સાહ,ut.sah
1,ઉથલાવવું,ut˙.lav.vu~
1,ઉદાર,u.dar
1,ઉદાસ,u.das
1,ઉદાહરણ,u.da.h.r¯
1,ઉદ્‌ઘાટન,ud.g˙a.ˇn
1,ઉદ્દેશ,ud.de.ß
1,ઉધ્ધાર,ud˙.d˙a.r
1,ઉદ્‌ભવ,ud.b˙.v
1,ઉદ્‌યોગ,ud.jo.g
1,ઉધરસ,ud˙.rs
1,ઉધાર,u.d˙ar
1,ઉનાળું,u.na.Æu~
1,ઉનાળો,u.na.Æo
1,ઉપકાર,up.kar
1,ઉપચાર,up.car
1,ઉ પજવું,u.pÔ.vu~
1,ઉપજાવવું,up.Ôav.vu~
1,ઉપદેશ,up.deß
1,ઉપનગર,up.n.gr
1,ઉપનામ,up.nam
1,ઉપયોગ,up.jog
1,ઉપર,u.pr
1,ઉપરાંત,up.ra~t
1,ઉપરી,up.ri
1,ઉપવાસ,up.vas
1,ઉપસંહાર,up.sam.har
1,ઉપાડ,u.paÎ
1,ઉપાડવું,u.paÎ.vu~
1,ઉપાય,u.paj
1,ઉમદા,um.da
1,ઉમર,u.mr
1,ઉમળકો,u.mÆ.ko
1,ઉમંગ,u.m˜.g
1,ઉમેરવું,u.mer.vu~
1,ઉમેરો,u.me.ro
1,ઉલટાવવું,ul.ˇav.vu~
1,ઉલેચવું,u.lec.vu~
1,ઉલ્લેખ,ul.lek˙
1,ઉશ્કેરવું,uß.ker.vu~
1,ઉંદર,un.dr
1,ઉંબરો,um.b.ro
1,ઊકળવું,u.k.vu~
1,ઊકાળવું,u.ka.Æ.vu~
1,ઊખડવું,u.k˙Î.vu~
1,ઊખાડવું,u.k˙aÎ.vu~
1,ઊગરવું,u.gr.vu~
1,ઊગવું,ug.vu~
1,ઊચકવું,u.ck.vu~
1,ઊછરવું,u.c˙r.vu~
1,ઊજવવું,u.Ôv.vu~
1,ઊજળું,uÔ.Æu~
1,ઊઠવું,uˇ˙.vu~
1,ઊડવું,uÎ.vu~
1,ઊણપ,u.¯p
1,ઊતરવું,u.tr.vu~
1,ઊથલવું,u.t˙l.vu~
1,ઊથલો,u.t˙.lo
1,ઊધઇ,u.d˙.i
1,ઊન,un
1,ઊપજ,u.pÔ
1,ઊપડવું,u.pÎ.vu~
1,ઊભાઊભ,u.b˙a.ub˙
1,ઊભું,u.b˙u~
1,ઊલટી,ul.ti
1,ઊલટું,ul.ˇu~
1,ઊલળવું,u.lÆ.vu~
1,ઊહાપોહ,u.ha.poh
1,ઊંઘ,u~˜.g
1,ઊંચકવું,u~.ck.vu~
1,ઊંચાઇ,u~.cai
1,ઊંચું,u~.cu~
1,ઊંટ,u~ˇ
1,ઊંડાઇ,un.Îa.i
1,ઊંડું,u~¯.Îu~
1,ઊંધીયું,u~n.d˙i.ju~
1,ઊંધું,u~n.d˙u~
1,ઋજુ,ru.Ôu
1,ઋણ,ru¯
1,ઋતુ,ru.tu
1,ઋષિ,ru.ßi
1,એ,e
1,એક,ek
1,એકટાણું,ek.ˇa.¯u~
1,એકડો,ek.Îo
1,એકતા,ek.ta
1,એકતાળીસ,ek.ta.Æis
1,એકત્રીસ,e.k.tris
1,એકદમ,ek.dm
1,એકધારું,ek.d˙a.ru~
1,એકપક્ષી,ek.p.kßi
1,એકપત્નિત્ત્વ,ek.pt.nit.v
1,એકમ,e.km
1,એકમાત્ર,ek.mat.r
1,એકમેક,ek.mek
1,એકરાગ,ek.rag
1,એકરૂપ,ek.rup
1,એકલ દોકલ,e.kl do.kl
1,એકલપેટું,e.kl.pe.ˇu~/ <e.k.l.
1,એકલવાયું,e.kl.va.ju~
1,એકવગું,ek.v.gu~
1,એકવચન,ek.v.cn
1,એકવીસ,ek.vis
1,એકસઠ,ek.sˇ˙
1,એકસરખું,ek.sr.k˙u~
1,એકંદર,ekn.dr
1,એકાએક,e.ka.ek
1,એકાણું,e.ka.¯u~
1,એકાદશી,e.ka.d.ßi
1,એકાશી,e.ka.ßi
1,એકાંકી,e.ka~.ki
1,એકાંત,e.ka~n.t
1,એકી સાથે,e.ki sa.t˙e
1,એકેક,ek.kek
1,એકોતર,e.ko.tr
1,એકયાશી,e.kja.ßi
1,એટલે,eˇ.le
1,એઠું,´.ˇ˙u~
1,એડી,e.Îi
1,એલચી,el.ci
1,એવડું,ev.Îu~
1,એવું,e.vu~
1,એવામાં,e.va.ma~
1,એશ,´ß
1,ઐરાવત,i.ra.vt
1,ઐશ્વર્ય,i.ßv.rj
1,ઓગણચાલીસ,o.g¯.ca.lis
1,ઓગણત્રીસ,o.g¯.tris
1,ઓગણપચાસ,o.g¯.p.cas
1,ઓગણસાઇઠ,o.g¯. sa.iˇ˙
1,ઓગણ્યાએંશી.,og.¯ja. ´~ßi
1,ઓગણીસ,og.¯is
1,ઓળગવું,ø.gÆ.vu~
1,ઓચિન્તું,ø.cin.tu~
1,ઓચ્છવ,oc.c˙v
1,ઓછાબોલું,o.c˙a.bo.lu~
1,ઓછું,o.c˙u~
1,ઓજાર,o.Ôar
1,ઓટ,oˇ
1,ઓટલો,oˇ.lo
1,ઓટવું,oˇ.vu~
1,ઓઢવું,oÎ˙.vu~
1,ઓરડો,or.Îo
1,ઓરવું,or.vu~
1,ઓરી,o.ri
1,ઓલવવું,o.lv.vu~
1,ઓસરી,os.ri
1,ઓશીકું,o.ßi.ku~
1,ઓળખ,o.Æk˙
1,ઓળવું,oÆ.vu~
1,ઓળંગવું,o.Æ˜.g.vu~
1,અૌચિત્ય,u.ci.tj
1,અૌદીચ્ય,u.diŠ.cj
1,અૌપચાર્રીક,up.ca.rik
1,અૌષધ,u.ßd˙
1,ઓદ્‌યોગિક,u.djo.gik
1,કક્‌કો,kk.ko
1,કચકચ,kc. kc
1,કચડવું,k.cÎ.vu~
1,કચરાપેટી,kc.ra pe.ˇi
1,કચરો,kc.ro
1,કચવાટ,kc.vaˇ
1,કચાશ,k.caß
1,કચુંબર,k.cum.br
1,કચોરી,k.co.ri
1,કજિયાખોર,k.Ôi.ja.k˙or
1,કજોડું,k.Ôo.Îu~
1,કટકો,kˇ.ko
1,કટોકટી,k.ˇo.k.ˇi
1,કટોરો,k.ˇo.ro
1,કઠણ,k.ˇ˙¯
1,કઠીન,k.ˇ˙in
1,કઠિયારો,k.ˇ˙i.ja.ro
1,કઠેડો,k.ˇ˙e.Îo
1,કઠોર,k.ˇ˙or
1,કઠોળ,k.ˇ˙oÆ
1,કડકો,kÎ.ko
1,કડવું,kÎ.vu~
1,કડાકૂટ,k.Îa.kuˇ
1,કડીયો,k.Îi.jo
1,કડી,k.Îi
1,કડું,k.Îu~
1,કઢંગું,k.Î˙˜.gu
1,કઢી,k.Î˙i
1,કણ,k¯
1,કણસવું,k.¯s.vu~
1,કથળવું,k.t˙Æ.vu~
1,કથા,k.t˙a
1,કથાકાર,k.t˙a.kar
1,કદ,kd
1,કદરૂપું,kd.ru.pu~
1,કદાવર,k.da.vr
1,કનડગત,k.nÎ.gt
1,કન્યા,kn.ja
1,કપટ,k.pˇ
1,કપડાંલત્તાં,kp.Îa~.lt.ta~
1,કપડું,kp.Îu~
1,કપરું,kp.ru~
1,કપાળ,k.pa
1,કપાસ,k.pas
1,કપોળ,k.poÆ
1,કફ,kp˙
1,કબજીયાત,k.b.Ôi.jat
1,કબજો,kb.Ôo
1,કબર,k.br
1,કબાટ,k.baˇ
1,કબૂતર,k.bu.tr
1,કમનસીબ,km.n.sib
1,કમર,k.mr
1,કમળ,k.mÆ
1,કમળો,km.Æo
1,કમાઇ,k.ma.i
1,કમાવું,l.ma.vu~
1,કમુરત,k.mu.rt
1,કમોત,k.mot
1,કમોસમ,k.mo.sm
1,કરકસર,kr.k.sr
1,કરગરવું,kr.gr.vu~
1,કરચલો,k.rc.lo
1,કરજ,k.rÔ
1,કરમાવું,kr.ma.vu~
1,કરવું,kr.vu~
1,કરા,k.ra
1,કરાર,k.rar
1,કરિયાણું,k.ri.ja.¯u~
1,કરિયાવર,k.ri.ja.vr
1,કરુણ,k.ru¯
1,કરુણા,k.ru.¯a
1,કરૂપ,k.rup
1,કરોડ,k.roÎ
1,કરોડરજજુ,k.roÎ.rÔ.Ôu
1,કરોળિયો,k.ro.Æi.jo
1,કલંક,k.lnk
1,કલા,k.la
1,કલાક,k.lak
1,કલાકાર,k.la.kar
1,કલ્પના,kl.p.na
1,કલ્પવું,kl.p.vu~
1,કલ્યાણ,kl.ja.¯
1,કવયિત્રી,k.v.ji.tri
1,કવિ,k.vi
1,કશું,k.ßu~
1,કશુંક,k.ßu~k
1,કસરત,ks.rt
1,કસાઇ,k.sai
1,કસોટી,k.so.ˇi
1,કહેણ,k.he¯
1,કહેવત,k.he.vt
1,કહેવું,k.he.vu~
1,કહ્યાગરું,kh.ja.g.ru~
1,કળતર,kÆ.tr
1,કળી,k.Æi
1,કઇં,k.i~
1,કઇંક,k.i~k
1,કંકાવટી,kn.ka.vaˇi
1,કંકુ,kn.ku
1,કંકોતરી,k.nko.t.ri
1,કંજૂસ,kn.Ôus
1,કંટાળવું,kn.ˇaÆ.vu~
1,કંટાળો,kn.ˇa.Æo
1,કંઠ,k¯t˙
1,કંઠી,k¯.ˇ˙i
1,કંદોઇ,kn.doi
1,કંદોરો,kn.do.ro
1,કંપારી,km.pa.ri
1,કંપવું,kmp.vu~
1,કંસાર,km.sar
1,કાકડી,kak.Îi
1,કાકા,ka.ka
1,કાકાજી,ka.ka.Ôi
1,કાકી,ka.ki
1,કાકીજી,ka.ki.Ôi
1,કાગડો,kag.Îo
1,કાગળ,ka.gÆ
1,કાગારોળ,ka.ga.roÆ
1,કાચ,kac
1,કાચબો,kac.bo
1,કાચિંડો,ka.ci¯.Îo
1,કાચું,ka.cu~
1,કાજળ,ka.ÔÆ
1,કાજુ,ka.Ôu
1,કાટ,kaˇ
1,કાઢવું,kaÎ˙.vu~
1,કાણું,ka.¯u~
1,કાતર,ka.tr
1,કાતરવું,ka.tr.vu~
1,કાતરી,kat.ri
1,કાદવ,ka.dv
1,કાન,kan
1,કાપ,kap
1,કાપડ,ka.pÎ
1,કાપલી,kap.li
1,કાપવું,kap.vu~
1,કાપો,ka.po
1,કાબર,ka.br
1,કાબૂ,ka.bu
1,કામ,kam
1,કામચલાઉં,kam.c.lau~
1,કામચોર,kam.cor
1,કાંટાળું,kam.dar
1,કાંટો,kam.dev
1,કાંઠો,kaj.do
1,કાંડું,ka.jm
1,કાંદો,kar.kun
1,કાંધ,kar.k˙a.nu~
1,કાંસકી,ka.r¯
1,કાંસકો,kar.tk
1,કિલ્લો,kar.tus
1,કિશોર,kar.b˙ar
1,કિશોરી,kal
1,કીટલી,ka.vt.ru~
1,કીડી.,kav.j
1,કીડો,kaÆ.Ôi
1,કીમત,kaÆ.Ôu~
1,કીર્તિ,la.Æu~
1,કુટુંબ,ka.Æo.t.ri
1,કુટેવ,ka~k.ri
1,કુતૂહલ,ka~k.ro
1,કુદરત,kud.rt
1,કૂળદેવ,kuÆ.dev
1,કુસ્તી,kus.ti
1,કુસેવા,ku.se.va
1,કુહાડી,ku.ha.Îi
1,કુહાડો,ku.ha.Îo
1,કુંડળ,ku¯.ÎÆ
1,કુંભાર,kum.b˙ar
1,કુંવારું,ku~.va.ru~
1,કૂકડો,kuk.Îo
1,કૂકડી,kuk.Îi
1,કૂતરી,kut.ri
1,કૂતરું,kut.ru~
1,કૂતરો,kut.ro
1,કૂથલી,kut˙.li
1,કૂદવું,kud.vu~
